"","suburb","state","blurb"
"101","Bendigo","VIC","Bendigo /ˈbɛndɪɡoʊ/ is a city in Victoria, Australia, located very close to the geographical centre of the state[3] and approximately 150 kilometres (93 mi) north west of the state capital, Melbourne. As of June 2016, Bendigo had an urban population of 95,587,[1] making it the fourth largest inland city in Australia and fourth most populous city in the state. It is the administrative centre for the City of Greater Bendigo which encompasses both the urban area and outlying towns spanning an area of approximately 3,000 square kilometres (1,158 sq mi)[4] and over 111,000 people.[5]"
"102","Kilmore","VIC","Kilmore (/ˈkɪlmɔːr/, locally [ˈkɪlmoː])[2] is a town in the Australian state of Victoria. Located 60 kilometres (37 mi) north of Melbourne, it is contentiously claimed as Victoria's oldest inland settled town.[3] At the 2011 census, Kilmore had a population of 6,678.[1]"
"103","Beechworth","VIC","Beechworth is a well-preserved historical town located in the north-east of Victoria, Australia, famous for its major growth during the gold rush days of the mid-1850s. At the 2011 census, Beechworth had a population of 2,789."
"104","North Melbourne","VIC","North Melbourne is an inner suburb of Melbourne, Australia, 2 km north-west of Melbourne's Central Business District. Its local government area is the City of Melbourne. At the 2011 Census, North Melbourne had a population of 11,755."
"105","Pyramid Hill","VIC","Pyramid Hill is a town in Victoria, Australia in the Shire of Loddon 254 kilometres (158 mi) north of Melbourne and 86 kilometres (53 mi) north of Bendigo. At the 2011 census, Pyramid Hill had a population of 419.[1] The town has a railway station."
"106","Wodonga","VIC","Wodonga /wəˈdɒŋɡə/[2] is a city on the Victorian side of the border with New South Wales, 300 kilometres (190 mi) north-east of Melbourne, Australia. It is located wholly within the boundaries of the City of Wodonga LGA. Its population is approximately 38,559 people [3] and is separated from its twin city in New South Wales, Albury, by the Murray River. Together, the two cities form an urban area with an estimated population of 90,281.[4]"
"107","Hallam","VIC","Hallam is a suburb in Melbourne, Victoria, Australia, 34 km south-east of Melbourne's central business district. Its local government area is the City of Casey. At the 2011 Census, Hallam had a population of 10,162.[1]"
"108","Boort","VIC","Boort (/ˈbɔːrt/, locally [ˈboːt]) is a town in Victoria, Australia, located next to Lake Boort, in the Shire of Loddon. At the 2011 census, Boort had a population of 1,173.[1] The town is known for its native birdlife. Boort is a local Aboriginal word meaning ""Smoke from the hill""."
"109","Wallan","VIC","Wallan /ˈwɒlən/ ( listen), traditionally known as Wallan Wallan (large circular place of water), is a town in Victoria, 45 kilometres (28 mi) from Melbourne in Australia. The town sits at the southern end of the large and diverse Shire of Mitchell which extends from the northern fringes of Melbourne into the farming country of north-central Victoria and the lower Goulburn Valley. The township flanks the Northern Highway and is set against the backdrop of the Great Dividing Range.[2] At the 2011 census, Wallan had a population of 7,811.[1]"
"110","Trafalgar","VIC","Trafalgar is a town in the West Gippsland region of Victoria, Australia. The town lies on the Princes Highway and main Gippsland railway line about 10 kilometres (6 mi) west of Moe. The town backs onto the foothills of the Strzelecki Ranges to the south. The township sits at approximately 70 metres above sea level. At the 2006 census, Trafalgar had a population of 2685."
"111","Craigieburn","VIC","Craigieburn is a suburb of Melbourne, Victoria, Australia, 26 km north of Melbourne's central business district. Its local government area is the City of Hume. At the 2016 Census, Craigieburn had a population of 50,347."
"112","Chadstone","VIC","Chadstone is a suburb in Melbourne, Victoria, Australia. Its local government area is the City of Monash. Landmarks include the Waverley Basketball Centre, Jordanville Community Centre and the Matthew Flinders Hotel. Scotchmans Creek runs along Chadstone's southern boundary, the Glen Waverley railway line along the northern boundary, Warrigal Road to the west and Huntingdale Road to the east. The Monash Freeway runs through the suburb. At the 2016 Census, Chadstone had a population of 8,641.[2]"
"113","Reservoir","VIC","Reservoir (/ˈrɛzəvɔːr/, locally [ˈɹezəvoː]) is a suburb of Melbourne, Victoria, Australia, 12 km north of Melbourne's Central Business District. Its local government area is the City of Darebin. At the 2016 Census, Reservoir had a population of 50,474."
"114","Wedderburn","VIC","Wedderburn is a rural town in Victoria, Australia on the Calder Highway, 214 kilometres (133 mi) north of Victoria's capital city, Melbourne. At the 2011 census, Wedderburn had a population of 680.[1] It is mainly a farming community but its early residents were gold miners and prospectors."
"115","Horsham","VIC","Horsham (/ˈhɔːrʃəm/, locally [ˈhoːʃəm])[2] is a regional city in the Wimmera region of western Victoria, Australia. Located on the Wimmera River, Horsham is approximately 300 kilometres (190 mi) north-west of the state capital Melbourne. In April 2017, Horsham City had an estimated population of 16,792.[1] with Its unofficial sub-divisions bringing that total to 17,643. It is the most populous city in the Wimmera region, and it is the main administrative centre for the Rural City of Horsham local government area."
"116","Birchip","VIC","Birchip is a town in the Mallee region of Victoria, Australia on the Sunraysia Highway north of Donald. The town is located in the Shire of Buloke local government area. At the 2011 census, Birchip had a population of 662.[1] It has a P-12 school, and an Australian rules football club called Birchip-Watchem, also known as the Birchip-Watchem Bulls, or just the ""Bulls"".[2][3]"
"117","Pakenham","VIC","Pakenham is a satellite suburb of Melbourne on the edge of the West Gippsland region of Victoria, Australia, 56 km (35 mi) south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Pakenham recorded a population of 46,421 at the 2016 Census."
"118","Altona","VIC","Altona is a suburb of Melbourne, Victoria, Australia, 13 km south-west of Melbourne's Central Business District,[2][3][4] located within the City of Hobsons Bay local government area. Altona recorded a population of 10,762 at the 2016 census."
"119","Walkerville","VIC","Walkerville Victoria, Australia, is a tiny fishing village on Waratah Bay in southwest Gippsland, about 190 km southeast of Melbourne. The small town, originally known as Waratah, is separated into North Walkerville and South Walkerville. At the 2006 census, Walkerville had a population of 262.[1]"
"120","Malvern East","VIC","Malvern East is a suburb of Melbourne, Victoria, Australia, 12 km south-east of Melbourne's Central Business District, located within the City of Stonnington local government area. Malvern East recorded a population of 21,707 at the 2016 Census."
"121","West Melbourne","VIC","West Melbourne is an inner suburb of Melbourne, Australia, 3 km north-west of Melbourne's Central Business District. Its local government area is the City of Melbourne. At the 2011 census, West Melbourne had a population of 3,744."
"122","Wyndham Vale","VIC","Wyndham Vale is a suburb of Melbourne, Victoria, Australia, 31 km south-west of Melbourne's Central Business District, located within the City of Wyndham local government area. Wyndham Vale recorded a population of 23,273 at the 2016 census."
"123","Lake Wendouree","VIC","Lake Wendouree is a suburb of Ballarat, Victoria, Australia located immediately west of the Ballarat central business district. It encompasses the man-made recreational lake Lake Wendouree, after which it is named. At the 2016 census, Lake Wendouree had a population of 2,882.[1]"
"124","Melton South","VIC","Melton South is a suburb of Melbourne, Victoria, Australia, 35 km west of Melbourne's Central Business District, located within the City of Melton local government area. Melton South recorded a population of 11,517 at the 2016 Census."
"125","Coronet Bay","VIC","Coronet Bay is a town in Victoria, Australia, located 114 km south-east of Melbourne via the M1 and the Bass Highway, on the eastern shore of Western Port Bay. The town serves as a holiday destination with a focus on recreational fishing. A boat ramp is available in the neighboring town of Corinella. Coronet Bay is serviced by a General Store, and has a community centre and hall, located on the Fred Gration Reserve."
"126","Corinella","VIC","Corinella is a town in Victoria, Australia, located 114 km south-east of Melbourne via the M1 and the Bass Highway, on the eastern shore of Western Port. The town serves as a holiday destination, with a focus on recreational fishing, and has a pier and boat ramp. Limited vehicular access is also provided to French Island from Corinella, via a privately operated barge.[2]"
"127","Bungaree","VIC","Bungaree is a town in Victoria, Australia. The town is located 103 kilometres (64 mi) west of the state capital, Melbourne and 14 kilometres (8.7 mi) east of the regional centre of Ballarat, on the Western Freeway and in the Shire of Moorabool local government area. At the 2016 census, Bungaree and the surrounding area had a population of 269.[1]"
